stockcode,meanRet,tradeNums,winRatio,sdRet,maxRet,minRet,avgHoldDays
9921.TW,-0.7,20,25,2.6,5.58,-3.74,5.9
2912.TW,-0.97,20,20,2.37,6.14,-5.15,6.65
2308.TW,-1.86,20,15,1.87,1.84,-4.91,5.5
2373.TW,-0.02,17,35.29,1.51,2.41,-2.19,7.18
6505.TW,-1.59,15,26.67,2.89,4.77,-7.28,4
2227.TW,-0.21,14,28.57,2.51,4.58,-3.27,7.07
1723.TW,-0.71,14,21.43,1.89,4.71,-2.2,5.79
1537.TW,-1.7,13,15.38,2.88,2.48,-8.61,5.15
2474.TW,-1.6,13,15.38,5.88,16.53,-7.04,6.46
2330.TW,0.48,12,41.67,3.11,6.9,-2.82,7
2059.TW,-0.28,12,33.33,3.24,6.9,-2.94,7
2727.TW,-2.63,12,16.67,3.35,2.93,-9.09,4.5
1301.TW,-1.39,12,8.33,1.26,0.38,-4.2,5.33
2207.TW,-1.59,12,8.33,1.1,0.18,-3.81,3.92
2357.TW,-0.45,11,27.27,2.8,6.03,-3.37,5
3045.TW,-0.57,11,18.18,1.47,3.09,-2.7,5.45
4904.TW,-0.86,10,30,1.66,1.55,-4.43,6.3
2454.TW,-2.57,10,20,3.77,0.69,-12.58,6.7
3034.TW,-0.44,10,20,3.47,7.94,-4.28,5.9
3617.TW,-3.09,10,20,11.52,16.77,-28.7,8.3
3673.TW,-4.34,10,10,3.25,2.41,-9.17,6.1
3130.TW,-0.56,9,33.33,2.21,3.99,-2.83,6.33
1726.TW,-0.77,9,11.11,2.12,4.44,-2.75,5.78
2451.TW,0.2,8,50,3.21,5.1,-3.41,10.75
8016.TW,-0.65,8,50,4.51,7.58,-5.93,8.5
1707.TW,2.91,8,37.5,9.22,22.91,-4.78,9
2360.TW,-0.56,8,37.5,3.17,4.07,-3.97,13.25
2379.TW,-1,8,25,1.95,1.82,-4.61,4.12
1558.TW,-1.29,8,12.5,2.14,2.86,-4.82,6.25
2548.TW,1.75,7,71.43,2.84,5.93,-2.38,12.29
1303.TW,0.59,7,57.14,3.07,4.04,-4.26,7.86
6230.TW,7.66,7,57.14,18.06,46.13,-7.03,11.43
6239.TW,1.37,7,42.86,4.41,7.99,-2.39,9.29
1338.TW,0.48,7,28.57,4.01,8.91,-2.44,6.86
8454.TW,-0.22,7,28.57,2.28,4.25,-2.89,6.57
9942.TW,-0.93,7,28.57,3.09,2.55,-6.84,6.29
6605.TW,-1.1,7,14.29,0.86,0.1,-2.35,5
9943.TW,-3.28,7,14.29,3.17,1.85,-7.31,9.57
3515.TW,-4.31,7,0,4.5,-0.4,-11.1,6.71
3533.TW,3.99,6,66.67,8.61,20.5,-3.23,8.67
3443.TW,1.92,6,50,6.46,14.92,-2.01,8.33
1326.TW,-0.32,6,33.33,1.8,3.03,-1.68,4.17
3060.TW,-1.47,6,33.33,3.68,4.35,-4.85,7
1521.TW,-0.21,6,16.67,5.24,10.22,-3.5,5.5
2383.TW,-2.12,6,16.67,4.43,5.68,-6.68,4.67
2412.TW,-0.94,6,16.67,0.95,0.52,-1.86,6.67
2439.TW,-4.58,6,16.67,5.98,0.22,-15.96,5.83
8422.TW,-1.04,6,16.67,2.12,0.86,-5.17,10
9910.TW,0.12,6,16.67,3.27,6.69,-1.87,6.17
6271.TW,-1.79,6,0,0.98,-0.4,-2.99,4.33
3008.TW,0.71,5,40,4.77,8.16,-3.49,12.4
3044.TW,-0.47,5,40,1.28,1.04,-1.96,6.8
3189.TW,-1.47,5,40,2.11,1.03,-4.32,5.2
4137.TW,-1.19,5,40,4.31,4.91,-6.61,5.8
5288.TW,2.79,5,40,10.53,20.37,-5.15,11.2
9914.TW,-0.33,5,40,2.5,3.37,-2.99,7
1101.TW,-0.93,5,20,1.71,1.4,-3.44,6
3583.TW,1.75,5,20,6.77,13.81,-2.2,7
3607.TW,-1.76,5,20,4.5,5.57,-5.92,8.2
3711.TW,-0.54,5,20,2.74,3.85,-3.45,7.2
4536.TW,-1.06,5,20,1.23,0.75,-2.3,4.8
1216.TW,-0.99,5,0,0.5,-0.53,-1.83,5.2
2393.TW,-4.08,5,0,1.68,-2.17,-6.11,4.8
6414.TW,-2.55,5,0,1.18,-1.71,-4.6,2.6
6202.TW,2.2,4,75,3.87,7.11,-2.18,11.5
1582.TW,1.64,4,50,5.82,10.23,-2.05,8.75
