"StockCode","meanRet","tradeNums","winRatio","sdRet","maxRet","minRet","avgHoldDays"
"0050.TW",0.13,66,57.58,4.16,11.81,-13.57,27.08
"0051.TW",0.55,26,57.69,7.45,16.63,-20.49,83.23
"0052.TW",0.23,22,54.55,5.6,9.25,-14.08,71.55
"0053.TW",-0.07,65,58.46,4.3,12.22,-13.82,25.45
"0054.TW",0.33,36,55.56,5.14,14.12,-14.78,40.83
"0055.TW",0.48,30,53.33,4.9,12.85,-13.63,37.73
"0056.TW",-0.11,67,53.73,4.28,11.08,-15.72,24.99
"0057.TW",0.11,69,57.97,4.04,8.72,-14.54,25
"0058.TW",0.06,50,56,4.53,11.02,-14.15,31.18
"0059.TW",-2.95,26,34.62,7.07,6.58,-24.07,98.23
"0061.TW",-1.82,33,60.61,10.06,22.49,-23.83,97.97
"1101.TW",0.62,70,50,6.83,20.97,-22.6,25.64
"1102.TW",-0.25,70,48.57,6.24,18.64,-22.01,25.64
"1103.TW",0.07,70,45.71,6.19,23.18,-15.76,25.64
"1104.TW",-0.32,70,42.86,6.74,31.53,-19.75,25.64
"1108.TW",-0.55,70,34.29,4.51,10.15,-12.54,25.64
"1109.TW",-0.48,70,32.86,4.3,22.82,-11.31,25.64
"1110.TW",0.14,70,42.86,5.58,20.35,-15.28,25.64
"1201.TW",-0.22,70,50,7.04,20.64,-19.14,25.64
"1203.TW",-0.46,70,37.14,4.94,14.6,-13.35,25.64
"1210.TW",0.47,70,51.43,6.06,16.32,-11.38,25.64
"1213.TW",0.62,70,42.86,9.19,25.31,-34.6,25.64
"1215.TW",0.92,70,40,8.14,28.18,-15.95,25.64
"1216.TW",0.53,70,54.29,4.96,14.06,-12.41,25.64
"1217.TW",0.06,70,38.57,6.76,23.31,-23.24,25.64
"1218.TW",0.5,70,51.43,8.11,33.8,-26,25.64
"1219.TW",0.88,70,48.57,3.9,16.72,-7.32,25.64
"1220.TW",-0.33,70,37.14,5.22,21.85,-17.73,25.64
"1225.TW",2.47,70,54.29,8.68,33.3,-14.74,25.64
"1227.TW",2.32,70,55.71,9.25,42.6,-14.63,25.64
